Sucursal,Producto,Año,Mes,Unidades_vendidas,Ingreso_total,Costo_total
Sucursal Centro,Coca Cola,2020,7,9319,20073679.96,12394867.22
Sucursal Centro,Fanta,2020,7,1829,3432598.09,2319542.49
Sucursal Centro,Sprite,2020,7,7702,15529173.39,11216076.08
Sucursal Centro,7 Up,2020,7,948,1330573.48,1035079.3
Sucursal Centro,Pepsi,2020,7,8616,14312474.94,8592571.9
Sucursal Sur,Coca Cola,2020,7,10511,19185353.53,14881575.04
Sucursal Sur,Fanta,2020,7,2028,3423960.45,2188573.78
Sucursal Sur,Sprite,2020,7,8294,14803367.5,11695364.4
Sucursal Sur,7 Up,2020,7,964,1363907.74,1016412.86
Sucursal Sur,Pepsi,2020,7,7947,13441220.24,9407008.48
Sucursal Norte,Coca Cola,2020,8,10095,21629275.21,17215366.61
Sucursal Norte,Fanta,2020,8,2004,3389025.1,2184768.42
Sucursal Norte,Sprite,2020,8,8619,16285573.16,12832995.67
Sucursal Norte,7 Up,2020,8,1098,1503880.7,1035917.85
Sucursal Norte,Pepsi,2020,8,8627,15377847.09,9368416.59
Sucursal Centro,Coca Cola,2020,8,9825,18921113.4,13643275.1
Sucursal Centro,Fanta,2020,8,2024,3619083.38,2487502.59
Sucursal Centro,Sprite,2020,8,7952,14400297.32,9377120.4
Sucursal Centro,7 Up,2020,8,1066,1653625.29,1104638.37
Sucursal Centro,Pepsi,2020,8,7640,11867550.15,8042797.6
Sucursal Sur,Coca Cola,2020,8,10905,19771483.28,15121711.65
Sucursal Sur,Fanta,2020,8,1877,3113365.04,2378073.13
Sucursal Sur,Sprite,2020,8,7963,16245875.65,10742803.66
Sucursal Sur,7 Up,2020,8,1002,1481646.55,1116132.09
Sucursal Sur,Pepsi,2020,8,8258,14870099.39,11674048.5
Sucursal Norte,Coca Cola,2020,9,9692,20510888.49,12489558.51
Sucursal Norte,Fanta,2020,9,2185,4001867.66,3145529.59
Sucursal Norte,Sprite,2020,9,8524,17798669.38,10877703.6
Sucursal Norte,7 Up,2020,9,917,1266028.75,803488.19
Sucursal Norte,Pepsi,2020,9,8261,14491071.55,8839945.68
Sucursal Centro,Coca Cola,2020,9,9836,18003706.5,13119109.64
Sucursal Centro,Fanta,2020,9,1955,3454346.11,2129929.56
Sucursal Centro,Sprite,2020,9,7521,15137473.33,11195290.81
Sucursal Centro,7 Up,2020,9,924,1349287.24,983321.65
Sucursal Centro,Pepsi,2020,9,8056,13343096.66,8517078.18
Sucursal Sur,Coca Cola,2020,9,10119,20396302.31,14005924.54
Sucursal Sur,Fanta,2020,9,2141,3489059.28,2744767.33
Sucursal Sur,Sprite,2020,9,7331,14258140.64,9304960.07
Sucursal Sur,7 Up,2020,9,923,1259084.76,949602.22
Sucursal Sur,Pepsi,2020,9,7496,13742006.57,10156891.93
Sucursal Norte,Coca Cola,2020,10,9693,19392354.99,12257948.4
Sucursal Norte,Fanta,2020,10,1861,3620628.76,2652987.51
Sucursal Norte,Sprite,2020,10,7388,13144424.97,9198037.75
Sucursal Norte,7 Up,2020,10,1027,1551189.66,1122784.44
Sucursal Norte,Pepsi,2020,10,8502,14415615.34,9668151.72
Sucursal Centro,Coca Cola,2020,10,10170,21359446.21,13797299.29
Sucursal Centro,Fanta,2020,10,2093,3435952.54,2176192.03
Sucursal Centro,Sprite,2020,10,8676,16343381.94,10992260.92
Sucursal Centro,7 Up,2020,10,1034,1482689.87,1032341.16
Sucursal Centro,Pepsi,2020,10,8733,14665703.01,9428554.68
Sucursal Sur,Coca Cola,2020,10,10762,23203291.07,18482352.06
Sucursal Sur,Fanta,2020,10,2101,3918593.0,2561445.31
Sucursal Sur,Sprite,2020,10,7641,15506616.55,11683022.9
Sucursal Sur,7 Up,2020,10,912,1315278.13,984967.42
Sucursal Sur,Pepsi,2020,10,7757,13772903.74,10268236.31
Sucursal Norte,Coca Cola,2020,11,9366,17856881.68,11653412.76
Sucursal Norte,Fanta,2020,11,2096,3847045.66,3071212.66
Sucursal Norte,Sprite,2020,11,8582,16920139.92,13279377.31
Sucursal Norte,7 Up,2020,11,903,1333520.47,1029761.98
Sucursal Norte,Pepsi,2020,11,8215,13289298.41,10178331.67
Sucursal Centro,Coca Cola,2020,11,10131,19916228.54,13414073.68
Sucursal Centro,Fanta,2020,11,1995,3742484.99,2547110.54
Sucursal Centro,Sprite,2020,11,7566,15229266.44,9485274.3
Sucursal Centro,7 Up,2020,11,1067,1533584.05,1063522.37
Sucursal Centro,Pepsi,2020,11,8724,14179320.92,8968625.76
Sucursal Sur,Coca Cola,2020,11,10514,20520331.18,14719025.14
Sucursal Sur,Fanta,2020,11,2088,3452325.66,2241403.31
Sucursal Sur,Sprite,2020,11,7586,14039144.63,9697526.85
Sucursal Sur,7 Up,2020,11,1067,1450111.55,1153233.45
Sucursal Sur,Pepsi,2020,11,8792,15466049.71,12144689.47
Sucursal Norte,Coca Cola,2020,12,9388,20180279.73,12684775.5
Sucursal Norte,Fanta,2020,12,2093,3542674.5,2647641.89
Sucursal Norte,Sprite,2020,12,7561,15304894.14,10859867.15
Sucursal Norte,7 Up,2020,12,952,1389801.13,872591.15
Sucursal Norte,Pepsi,2020,12,8493,15490393.3,10603589.11
Sucursal Centro,Coca Cola,2020,12,10047,19887336.43,15855691.85
Sucursal Centro,Fanta,2020,12,1931,3655718.49,2230869.5
Sucursal Centro,Sprite,2020,12,7486,13916572.3,10452829.22
Sucursal Centro,7 Up,2020,12,928,1521486.69,1189916.62
Sucursal Centro,Pepsi,2020,12,8408,12870806.61,9105723.69
Sucursal Sur,Coca Cola,2020,12,9043,19691674.33,13335532.86
Sucursal Sur,Fanta,2020,12,2187,4222071.59,2883960.73
Sucursal Sur,Sprite,2020,12,8420,14660946.1,10429630.43
Sucursal Sur,7 Up,2020,12,953,1453166.99,1035486.34
Sucursal Sur,Pepsi,2020,12,8232,13051741.09,8604833.14
Sucursal Norte,Coca Cola,2021,1,11066,30712878.89,22760642.6
Sucursal Norte,Fanta,2021,1,1712,2484830.99,1931929.65
Sucursal Norte,Sprite,2021,1,7432,14484470.24,9342938.55
Sucursal Norte,7 Up,2021,1,1451,2350480.97,1652379.93
Sucursal Norte,Pepsi,2021,1,7478,16603809.78,11023170.03
Sucursal Centro,Coca Cola,2021,1,11215,29926205.66,20915689.01
Sucursal Centro,Fanta,2021,1,1513,2327739.97,1489800.17
Sucursal Centro,Sprite,2021,1,6520,14361829.36,8814336.61
Sucursal Centro,7 Up,2021,1,1372,2143476.28,1528001.72
Sucursal Centro,Pepsi,2021,1,8130,16004671.73,11497452.24
Sucursal Sur,Coca Cola,2021,1,11945,31479241.62,20175671.17
Sucursal Sur,Fanta,2021,1,1455,2150922.34,1447665.89
Sucursal Sur,Sprite,2021,1,6823,13284797.59,10625436.97
Sucursal Sur,7 Up,2021,1,1536,2210069.7,1735789.38
Sucursal Sur,Pepsi,2021,1,8700,18130416.13,12429436.75
Sucursal Norte,Coca Cola,2021,2,10563,29136014.07,18891575.7
Sucursal Norte,Fanta,2021,2,1524,2149515.48,1335131.95
Sucursal Norte,Sprite,2021,2,7512,15686323.91,10717309.6
Sucursal Norte,7 Up,2021,2,1411,2081988.5,1342720.67
Sucursal Norte,Pepsi,2021,2,8677,16752191.14,10945174.68
Sucursal Centro,Coca Cola,2021,2,11967,32747825.72,22022037.46
Sucursal Centro,Fanta,2021,2,1507,2057654.19,1599794.7
Sucursal Centro,Sprite,2021,2,7090,16258968.4,9824508.92
Sucursal Centro,7 Up,2021,2,1379,1959734.93,1345082.78
Sucursal Centro,Pepsi,2021,2,7358,16501172.42,12437244.32
Sucursal Sur,Coca Cola,2021,2,10809,28965398.92,22075116.71
Sucursal Sur,Fanta,2021,2,1476,1971150.07,1293801.07
Sucursal Sur,Sprite,2021,2,7695,15231971.07,9809779.24
Sucursal Sur,7 Up,2021,2,1418,2287919.11,1829430.31
Sucursal Sur,Pepsi,2021,2,8072,15979420.36,10221839.69
Sucursal Norte,Coca Cola,2021,3,9992,24964697.88,16091637.66
Sucursal Norte,Fanta,2021,3,1689,2305779.19,1773619.41
Sucursal Norte,Sprite,2021,3,6597,12535716.72,9059724.77
Sucursal Norte,7 Up,2021,3,1489,2273327.12,1599228.81
Sucursal Norte,Pepsi,2021,3,8425,17173416.02,13639278.23
Sucursal Centro,Coca Cola,2021,3,11099,31352591.9,20956176.99
Sucursal Centro,Fanta,2021,3,1650,2237869.59,1760253.49
Sucursal Centro,Sprite,2021,3,6942,13589342.62,9539539.25
Sucursal Centro,7 Up,2021,3,1611,2380885.13,1433656.7
Sucursal Centro,Pepsi,2021,3,8476,17457516.18,11622735.1
Sucursal Sur,Coca Cola,2021,3,11270,29669137.23,20829922.87
Sucursal Sur,Fanta,2021,3,1469,2130461.53,1508913.74
Sucursal Sur,Sprite,2021,3,6575,13558622.83,8466430.52
Sucursal Sur,7 Up,2021,3,1461,2071246.78,1330622.3
Sucursal Sur,Pepsi,2021,3,7751,15863180.36,10148655.86
Sucursal Norte,Coca Cola,2021,4,11020,29294547.98,20752213.4
Sucursal Norte,Fanta,2021,4,1497,2065671.18,1387357.02
Sucursal Norte,Sprite,2021,4,7271,13777753.52,8551502.62
Sucursal Norte,7 Up,2021,4,1525,2118417.51,1546263.62
Sucursal Norte,Pepsi,2021,4,8017,16817172.8,12560635.97
Sucursal Centro,Coca Cola,2021,4,11368,30605545.56,21972355.5
Sucursal Centro,Fanta,2021,4,1508,2275351.91,1594544.6
Sucursal Centro,Sprite,2021,4,6698,13841054.19,9466442.21
Sucursal Centro,7 Up,2021,4,1560,2424319.64,1634799.11
Sucursal Centro,Pepsi,2021,4,8745,18210400.09,11819603.56
Sucursal Sur,Coca Cola,2021,4,10722,26543109.55,20008445.18
Sucursal Sur,Fanta,2021,4,1739,2674508.22,1660763.2
Sucursal Sur,Sprite,2021,4,7463,14071124.02,9659506.65
Sucursal Sur,7 Up,2021,4,1644,2240337.29,1476011.05
Sucursal Sur,Pepsi,2021,4,8236,15659706.48,11076315.94
Sucursal Norte,Coca Cola,2021,5,10715,30495992.95,22459573.67
Sucursal Norte,Fanta,2021,5,1579,2237384.29,1715143.43
Sucursal Norte,Sprite,2021,5,7218,14951961.37,10223331.42
Sucursal Norte,7 Up,2021,5,1484,2258662.44,1362862.01
Sucursal Norte,Pepsi,2021,5,7720,17191033.44,11537709.84
Sucursal Centro,Coca Cola,2021,5,11253,27161532.57,18353250.54
Sucursal Centro,Fanta,2021,5,1512,1976713.59,1553671.36
Sucursal Centro,Sprite,2021,5,6794,15096335.94,11723663.96
Sucursal Centro,7 Up,2021,5,1559,2532736.37,1759915.2
Sucursal Centro,Pepsi,2021,5,8617,18805410.14,14233786.52
Sucursal Sur,Coca Cola,2021,5,10357,24269310.78,15324423.38
Sucursal Sur,Fanta,2021,5,1448,2238472.87,1779165.06
Sucursal Sur,Sprite,2021,5,7829,17738444.13,13086319.57
Sucursal Sur,7 Up,2021,5,1595,2506169.71,1827935.09
Sucursal Sur,Pepsi,2021,5,8134,15134055.82,11328097.2
Sucursal Norte,Coca Cola,2021,6,10808,27942601.2,17013065.99
Sucursal Norte,Fanta,2021,6,1626,2303721.04,1711123.47
Sucursal Norte,Sprite,2021,6,7619,16131365.15,9870655.15
Sucursal Norte,7 Up,2021,6,1469,2153648.54,1510123.51
Sucursal Norte,Pepsi,2021,6,8491,18894163.72,12413275.08
Sucursal Centro,Coca Cola,2021,6,10560,26947365.67,16520088.76
Sucursal Centro,Fanta,2021,6,1500,2271275.36,1732384.4
Sucursal Centro,Sprite,2021,6,6852,13839922.04,10412302.25
Sucursal Centro,7 Up,2021,6,1457,2133240.9,1342892.67
Sucursal Centro,Pepsi,2021,6,7690,14468169.38,8956692.88
Sucursal Sur,Coca Cola,2021,6,11864,31491669.11,22212098.25
Sucursal Sur,Fanta,2021,6,1558,2395411.49,1903013.85
Sucursal Sur,Sprite,2021,6,7648,16737489.29,10772090.24
Sucursal Sur,7 Up,2021,6,1595,2409979.67,1621153.27
Sucursal Sur,Pepsi,2021,6,7294,14143315.85,10849262.54
Sucursal Norte,Coca Cola,2021,7,11426,29151698.7,20424977.77
Sucursal Norte,Fanta,2021,7,1736,2697787.12,1803629.06
Sucursal Norte,Sprite,2021,7,7317,14286202.45,10757578.05
Sucursal Norte,7 Up,2021,7,1599,2205458.3,1643951.15
Sucursal Norte,Pepsi,2021,7,8795,18359206.71,13054455.71
Sucursal Centro,Coca Cola,2021,7,11206,30275820.73,21354019.1
Sucursal Centro,Fanta,2021,7,1660,2417437.91,1932135.09
Sucursal Centro,Sprite,2021,7,6801,13202530.08,8686377.56
Sucursal Centro,7 Up,2021,7,1548,2141970.19,1328208.08
Sucursal Centro,Pepsi,2021,7,7305,15964018.22,11037962.15
Sucursal Sur,Coca Cola,2021,7,11007,30919498.9,23995786.87
Sucursal Sur,Fanta,2021,7,1665,2554817.11,2017226.73
Sucursal Sur,Sprite,2021,7,7059,15040032.36,9650416.58
Sucursal Sur,7 Up,2021,7,1364,2105194.87,1515315.04
Sucursal Sur,Pepsi,2021,7,8077,15449351.22,9366575.7
Sucursal Norte,Coca Cola,2021,8,11225,30883921.11,23082551.24
Sucursal Norte,Fanta,2021,8,1538,2123534.97,1558820.11
Sucursal Norte,Sprite,2021,8,7834,17115161.13,12878256.72
Sucursal Norte,7 Up,2021,8,1359,2145605.95,1468112.97
Sucursal Norte,Pepsi,2021,8,7663,15827944.18,11961084.08
Sucursal Centro,Coca Cola,2021,8,10510,25958527.23,16378745.31
Sucursal Centro,Fanta,2021,8,1633,2244758.08,1424976.73
Sucursal Centro,Sprite,2021,8,6775,14710364.76,10946765.73
Sucursal Centro,7 Up,2021,8,1522,2098090.4,1472647.36
Sucursal Centro,Pepsi,2021,8,7827,15965001.82,12026608.23
Sucursal Sur,Coca Cola,2021,8,10432,29575181.33,18348287.1
Sucursal Sur,Fanta,2021,8,1452,2067941.86,1471464.28
Sucursal Sur,Sprite,2021,8,6512,12291628.18,7743222.65
Sucursal Sur,7 Up,2021,8,1548,2395328.22,1800238.98
Sucursal Sur,Pepsi,2021,8,7446,16268001.69,11302725.77
Sucursal Norte,Coca Cola,2021,9,11198,28678385.73,20883854.55
Sucursal Norte,Fanta,2021,9,1488,2051215.93,1278239.6
Sucursal Norte,Sprite,2021,9,7266,15657461.39,10605350.35
Sucursal Norte,7 Up,2021,9,1425,2149665.67,1411634.0
Sucursal Norte,Pepsi,2021,9,7778,15674790.87,11582541.75
Sucursal Centro,Coca Cola,2021,9,11993,29001225.36,19587872.64
Sucursal Centro,Fanta,2021,9,1596,2313218.71,1832304.63
Sucursal Centro,Sprite,2021,9,7869,15532183.4,10485984.84
Sucursal Centro,7 Up,2021,9,1463,2411254.82,1728678.39
Sucursal Centro,Pepsi,2021,9,7406,15322470.41,10369887.11
Sucursal Sur,Coca Cola,2021,9,11343,31816395.28,23548861.6
Sucursal Sur,Fanta,2021,9,1553,2084415.0,1457431.39
Sucursal Sur,Sprite,2021,9,7044,14500935.17,9878196.49
Sucursal Sur,7 Up,2021,9,1461,2175395.54,1373921.69
Sucursal Sur,Pepsi,2021,9,8295,18572263.32,12768178.92
Sucursal Norte,Coca Cola,2021,10,10255,27188972.17,21127997.26
Sucursal Norte,Fanta,2021,10,1657,2286594.08,1414973.56
Sucursal Norte,Sprite,2021,10,7219,14860887.2,11567029.4
Sucursal Norte,7 Up,2021,10,1433,2116257.18,1676565.41
Sucursal Norte,Pepsi,2021,10,8100,17967584.22,13301627.44
Sucursal Centro,Coca Cola,2021,10,10478,28007101.89,18997812.74
Sucursal Centro,Fanta,2021,10,1736,2518628.56,1580420.79
Sucursal Centro,Sprite,2021,10,7529,17248240.35,12692665.83
Sucursal Centro,7 Up,2021,10,1510,2335991.49,1590187.46
Sucursal Centro,Pepsi,2021,10,7619,16562697.73,12995781.25
Sucursal Sur,Coca Cola,2021,10,10694,27911042.17,21157233.61
Sucursal Sur,Fanta,2021,10,1639,2356196.04,1495600.74
Sucursal Sur,Sprite,2021,10,7818,15637906.27,11360497.89
Sucursal Sur,7 Up,2021,10,1479,2184458.69,1618159.16
Sucursal Sur,Pepsi,2021,10,8532,17992678.69,13233214.93
Sucursal Norte,Coca Cola,2021,11,9967,25435740.24,18836838.2
Sucursal Norte,Fanta,2021,11,1540,2256521.96,1531193.43
Sucursal Norte,Sprite,2021,11,7553,15256756.91,9923599.14
Sucursal Norte,7 Up,2021,11,1504,2247450.36,1676273.53
Sucursal Norte,Pepsi,2021,11,8631,18676290.03,12301594.22
Sucursal Centro,Coca Cola,2021,11,10971,29535880.59,18783269.36
Sucursal Centro,Fanta,2021,11,1757,2511645.24,1782026.54
Sucursal Centro,Sprite,2021,11,7671,17011113.79,11504912.69
Sucursal Centro,7 Up,2021,11,1532,2138473.64,1418422.49
Sucursal Centro,Pepsi,2021,11,7642,14849134.12,10497515.15
Sucursal Sur,Coca Cola,2021,11,9967,25176144.04,19807447.13
Sucursal Sur,Fanta,2021,11,1721,2347579.39,1793317.93
Sucursal Sur,Sprite,2021,11,7765,16032559.09,12084935.4
Sucursal Sur,7 Up,2021,11,1359,2232433.16,1513650.83
Sucursal Sur,Pepsi,2021,11,8778,16807557.89,13311575.48
Sucursal Norte,Coca Cola,2021,12,10802,28066430.92,21051749.03
Sucursal Norte,Fanta,2021,12,1711,2554371.48,1783954.51
Sucursal Norte,Sprite,2021,12,7063,13789732.17,9223843.06
Sucursal Norte,7 Up,2021,12,1440,2078506.79,1583585.63
Sucursal Norte,Pepsi,2021,12,7972,16604960.18,11669267.57
Sucursal Centro,Coca Cola,2021,12,11398,31530072.24,20211900.1
Sucursal Centro,Fanta,2021,12,1583,2237527.41,1741599.64
Sucursal Centro,Sprite,2021,12,7142,15071073.3,9942372.62
Sucursal Centro,7 Up,2021,12,1382,2005882.24,1318027.64
Sucursal Centro,Pepsi,2021,12,8782,18425170.11,14132100.12
Sucursal Sur,Coca Cola,2021,12,11818,31291775.22,21997240.67
Sucursal Sur,Fanta,2021,12,1755,2438393.36,1731057.69
Sucursal Sur,Sprite,2021,12,7579,14842752.85,10503379.14
Sucursal Sur,7 Up,2021,12,1428,2056222.67,1385758.32
Sucursal Sur,Pepsi,2021,12,7398,15682811.49,11527113.6
Sucursal Norte,Coca Cola,2022,1,12690,45590193.87,32823949.41
Sucursal Norte,Fanta,2022,1,1180,1297628.2,1033376.98
Sucursal Norte,Sprite,2022,1,6618,14150172.69,9630522.32
Sucursal Norte,7 Up,2022,1,2379,3630947.16,2645507.46
Sucursal Norte,Pepsi,2022,1,8545,22243021.69,16603186.05
Sucursal Centro,Coca Cola,2022,1,12752,39645197.18,25140366.72
Sucursal Centro,Fanta,2022,1,1265,1593458.68,1094220.51
Sucursal Centro,Sprite,2022,1,6889,16845064.43,13361184.29
Sucursal Centro,7 Up,2022,1,2385,3383284.65,2046388.99
Sucursal Centro,Pepsi,2022,1,7645,17670257.18,12407577.3
Sucursal Sur,Coca Cola,2022,1,11717,37425553.87,27813380.41
Sucursal Sur,Fanta,2022,1,1264,1363454.06,1054746.6
Sucursal Sur,Sprite,2022,1,6325,14299173.67,11311591.62
Sucursal Sur,7 Up,2022,1,2141,3488352.79,2123530.08
Sucursal Sur,Pepsi,2022,1,7976,19664856.56,13076245.07
Sucursal Norte,Coca Cola,2022,2,12667,46649614.72,35640244.32
Sucursal Norte,Fanta,2022,2,1393,1756070.28,1116604.33
Sucursal Norte,Sprite,2022,2,6622,15117308.57,9407391.63
Sucursal Norte,7 Up,2022,2,2441,3721281.42,2663163.41
Sucursal Norte,Pepsi,2022,2,7307,17604681.59,11458878.67
Sucursal Centro,Coca Cola,2022,2,13141,47937736.85,37726120.71
Sucursal Centro,Fanta,2022,2,1161,1455147.4,919541.23
Sucursal Centro,Sprite,2022,2,5892,14116153.54,10706036.11
Sucursal Centro,7 Up,2022,2,2197,3464036.65,2122779.34
Sucursal Centro,Pepsi,2022,2,7797,20122985.46,13516777.09
Sucursal Sur,Coca Cola,2022,2,12223,44614882.89,28527263.29
Sucursal Sur,Fanta,2022,2,1177,1371116.04,1008789.75
Sucursal Sur,Sprite,2022,2,6622,15186695.53,11609991.75
Sucursal Sur,7 Up,2022,2,2441,3859341.73,2447519.98
Sucursal Sur,Pepsi,2022,2,7931,18572553.94,11526013.74
Sucursal Norte,Coca Cola,2022,3,11713,39723455.91,30438426.83
Sucursal Norte,Fanta,2022,3,1228,1351164.13,953786.24
Sucursal Norte,Sprite,2022,3,5999,12958041.49,9631786.47
Sucursal Norte,7 Up,2022,3,2087,3113739.7,2062652.64
Sucursal Norte,Pepsi,2022,3,7904,20249070.31,13197132.2
Sucursal Centro,Coca Cola,2022,3,12616,42476245.91,26128539.23
Sucursal Centro,Fanta,2022,3,1199,1307050.63,875557.23
Sucursal Centro,Sprite,2022,3,7089,15510883.33,10761037.28
Sucursal Centro,7 Up,2022,3,2231,3106443.94,2432493.12
Sucursal Centro,Pepsi,2022,3,8042,19091530.08,11880110.73
Sucursal Sur,Coca Cola,2022,3,11246,35065648.75,26043064.74
Sucursal Sur,Fanta,2022,3,1304,1368106.88,954531.79
Sucursal Sur,Sprite,2022,3,6480,15106776.07,9946474.82
